,name,alias,Set,tall,boss,element,hp,damage,hpelement,bosstext,reward,extra
1,Mama Sheargrub,mamasheargrub,1,,,crush,10,5,,,@[P]@[P]@[P],
1,Mitite,mitite,1,,,swift,3,2,,,@[G]@[G],
1,Munge Dweevil,mungedweevil,1,,,poison,4,4,,,@[G],Creates a Poison Emitter when it dies
1,Orange Bulborb,orangebulborb,1,,,,9,7,,,@[P]@[P]@[P],
1,Pearly Clamclamp,pearlyclamclamp,1,,,,10,8,water,,@[G]@[G]@[G],
1,Snow Bulborb,snowbulborb,1,,,,3,1,,,@[P],
1,Sunsquish,sunsquish,1,,,swift,3,2,,,@[G],
1,Swarming Sheargrub,swarmingsheargrubs,1,,,swift,7,3,,,@[G]@[G],
1,Swooping Snitchbug,swoopingsnitchbug,1,,,,5,2,height,,@[G],Any Pikmin attacked this turn can't move next turn
1,Toady Bloyster,toadybloyster,1,,,,7,6,,,@[P]@[P]@[G],
1,Ujadani,ujadani,1,,,,1,0,poison,,@[G]@[G],
1,Unmarked Spectralids,unmarkedspectralids,1,,,,1,0,height,,,
1,Venom Dweevil,venomdweevil,1,,,poison,4,4,,,@[G],Creates a Poison Emitter when it dies
1,Volatile Dweevil,volatiledweevil,1,,,explosive,4,10,,,@[G]@[G],When it attacks it dies and drops nothing
1,Watery Blowhog,wateryblowhog,1,,,water,7,5,,,@[P]@[P],
1,Whiptongue Bulborb,whiptonguebulborb,1,,,,9,9,,,@[P]@[P]@[P]@[G],
1,Wollyhop,wollyhop,1,,,crush,7,5,,,@[P]@[P],
1,Yellow Wollyhop,yellowwollyhop,1,,,crush,7,5,,,@[P]@[P],
